category_title,category_description,topup_title,topup_description,topup_price_in_pence,topup_entitlement_type,topup_entitlement_unit,topup_entitlement_value,topup_entitlement_quantity,topup_entitlement_start_date,topup_entitlement_end_date,topup_passenger_class_name,topup_passenger_class_quantity
Academic Year Tickets,Academic Year tickets for school- college and university students.,Bilborough College Academic Year 2025/4,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,Student,1
Academic Year Tickets,Academic Year tickets for school- college and university students.,NTU Academic Year 2025/4,Unlimited travel on all NCT buses in the City Zone and Outer Zone (including to Brackenhurst). No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,Student,1
Academic Year Tickets,Academic Year tickets for school- college and university students.,Student Academic Year Further 2025/4,Unlimited travel on all NCT buses in the City Zone and Outer Zone. No refunds after 31.03.26.,48900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,Student,1
Academic Year Tickets,Academic Year tickets for school- college and university students.,Student Academic Year 2025/4,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,Student,1
Academic Year Tickets,Academic Year tickets for school- college and university students.,Under 19 Academic Year 2025/4,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,Under 19,1
Academic Year Tickets,Academic Year tickets for school- college and university students.,Under 19 Academic Year Further 2025/4,Unlimited travel on all NCT buses in the City Zone and Outer Zone. No refunds after 31.03.26.,48900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,Under 19,1
Academic Year Tickets,Academic Year tickets for school- college and university students.,UON Academic Year 2025/4,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,Student,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Adult Single,Valid for a single journey on any NCT Bus- anywhere!,1000000,flexible,minutes,10.0,1.0,,,Adult,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Adult Single 10 Trips,8 single journeys on any NCT Bus- anywhere!,2700,flexible,minutes,10.0,10.0,,,Adult,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 19 Single,Valid for a single journey on any NCT Bus in the City Zone.,200,flexible,minutes,10.0,1.0,,,Under 19,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 19 Single 10 Trips,Bulk buy 10 x Single journeys and activate when you want for travel on any NCT Bus in the City Zone.,1800,flexible,minutes,10.0,10.0,,,Under 19,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Student Single,Valid for a single journey on any NCT Bus in the City Zone.,250,flexible,minutes,10.0,1.0,,,Student,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Student Single 10 Trips,Bulk buy 10 x Single journeys and activate when you want for travel on any NCT Bus in the City Zone.,2250,flexible,minutes,10.0,10.0,,,Student,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 22 Single,Valid for a single journey on any NCT Bus in the City Zone.,250,flexible,minutes,10.0,1.0,,,Under 22,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 22 Single 10 Trips,Bulk buy 10 x Single journeys and activate when you want for travel on any NCT Bus in the City Zone. Ticket for 19- 20 and 21 year olds.,2250,flexible,minutes,10.0,10.0,,,Under 22,1
Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Job Seeker Single,Valid for a single journey on any NCT Bus- anywhere! Available to holders of the Jobcentre Plus Travel Discount Card.,150,flexible,minutes,10.0,1.0,,,Adult,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Adult 24 Hour Cityrider,Unlimited travel on all NCT buses in the City Zone.,550,flexible,days,1.0,1.0,,,Adult,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Adult 24 Hour Cityrider x 5,Bulk buy 5 x 24 Hour Cityrider tickets and activate when you want for unlimited NCT bus travel in the City Zone.,2340,flexible,days,1.0,5.0,,,Adult,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Adult 24 Hour Cityrider x 10,Bulk buy 10 x 24 Hour Cityrider tickets and activate when you want for unlimited NCT bus travel in the City Zone.,4440,flexible,days,1.0,10.0,,,Adult,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Adult 24 Hour Cityrider x 20,Bulk buy 20 x 24 Hour Cityrider tickets and activate when you want for unlimited NCT bus travel in the City Zone.,8415,flexible,days,1.0,20.0,,,Adult,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Adult 24 Hour Cityrider x 50,Bulk buy 50 x 24 Hour Cityrider tickets and activate when you want for unlimited NCT bus travel in the City Zone.,19870,flexible,days,1.0,50.0,,,Adult,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 19 24 Hour Cityrider,Unlimited travel on all NCT buses in the City Zone.,350,flexible,days,1.0,1.0,,,Under 19,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 19 24 Hour Cityrider x 5,Bulk buy 5 x 24 Hour Cityrider tickets and activate when you want for unlimited NCT bus travel in the City Zone.,1490,flexible,days,1.0,5.0,,,Under 19,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 19 24 Hour Cityrider x 10,Bulk buy 10 x 24 Hour Cityrider tickets and activate when you want for unlimited NCT bus travel in the City Zone.,2825,flexible,days,1.0,10.0,,,Under 19,1
24 Hour Tickets - City Zone,Unlimited travel on all NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,Under 19 24 Hour Cityrider x 20,Bulk buy 20 x 24 Hour Cityrider tickets and activate when you want for unlimited NCT bus travel in the City Zone.,5355,flexible,days,1.0,20.0,,,Under 19,1
